cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63837	0.015696	0.3426	173	0.1	4	100	1	0.7	1	1
0.63809	0.020805	0.2908	174	0.1	4	100	1	0.6	0.5	1
0.63799	0.013556	0.4113	227	0.08	4	100	1	0.7	1	1
0.63732	0.024475	0.32634	199	0.1	4	100	1	0.7	0.5	1
0.63718	0.017666	0.40753	196	0.1	6	100	1	0.7	1	1
0.63663	0.015047	0.47067	333	0.1	4	100	1	0.6	0.8	1
0.63659	0.020435	0.3434	148	0.1	5	100	1	0.7	1	1
0.63646	0.015074	0.26782	104	0.1	4	100	1	0.6	1	1
0.63598	0.016127	0.29659	217	0.1	2	100	1	0.7	1	1
0.63591	0.016391	0.42788	288	0.03	3	100	1	0.6	1	1
0.63585	0.016973	0.68289	895	0.03	1	100	1	0.8	1	1
0.63574	0.019421	0.24211	101	0.1	4	100	1	0.8	0.7	1
0.63572	0.023485	0.22293	72	0.1	4	100	1	0.8	0.8	1
0.63563	0.018856	0.33818	234	0.1	4	100	1	0.9	0.5	1
0.63561	0.022076	0.69486	495	0.03	4	100	1	0.7	1	1
0.63549	0.019742	0.21948	82	0.1	3	100	1	0.7	1	1
0.63546	0.017921	0.28821	178	0.1	4	100	1	0.8	0.5	1
0.63541	0.01635	0.25671	102	0.1	4	100	1	0.7	0.6	1
0.63533	0.017246	0.23435	104	0.1	4	100	1	0.8	0.6	1
0.63517	0.017188	0.23611	102	0.1	4	100	1	0.9	0.6	1
0.63517	0.01835	0.30291	133	0.1	4	100	1	0.9	0.7	1
0.63516	0.019423	0.19785	59	0.3	3	100	1	0.8	1	1
0.63514	0.01841	0.20161	20	0.3	5	100	1	0.9	1	1
0.63511	0.015134	0.39163	219	0.09	4	100	1	0.7	1	1
0.63507	0.019681	0.22225	58	0.3	4	100	1	0.6	1	1
0.63504	0.013279	0.27273	270	0.1	1	100	1	0.7	1	1
0.63492	0.013385	0.16269	52	0.3	2	100	1	0.7	1	1
0.63492	0.018914	0.23558	82	0.1	4	100	1	0.7	0.8	1
0.63487	0.014724	0.36128	373	0.1	1	100	1	0.9	1	1
0.6348	0.016549	0.27767	272	0.1	1	100	1	0.8	1	1
0.63463	0.02154	0.2085	74	0.1	4	100	1	1	0.6	1
0.63461	0.015501	0.14542	63	0.3	1	100	1	0.7	1	1
0.63461	0.01697	0.18342	122	0.3	1	100	1	0.9	1	1
0.63458	0.014679	0.43033	324	0.1	4	100	1	0.6	0.6	1
0.63454	0.016874	0.46941	294	0.03	4	100	1	0.6	1	1
0.63453	0.017336	0.32511	123	0.1	5	100	1	0.9	1	1
0.6345	0.01973	0.68705	694	0.03	2	100	1	0.8	1	1
0.63434	0.015305	0.91235	1234	0.03	1	100	1	0.7	1	1
0.63431	0.019153	0.19414	57	0.3	3	100	1	1	1	1
0.6343	0.019983	0.27294	136	0.1	4	100	1	0.7	0.7	1
0.63425	0.016084	0.24208	153	0.1	2	100	1	0.8	1	1
0.63416	0.015409	0.21153	44	0.3	5	100	1	0.6	1	1
0.63416	0.015409	0.21252	44	0.3	6	100	1	0.6	1	1
0.63407	0.016196	0.26863	88	0.1	5	100	1	0.6	1	1
0.63407	0.016196	0.27816	88	0.1	6	100	1	0.6	1	1
0.63394	0.017322	0.19981	60	0.3	3	100	1	0.7	1	1
0.63392	0.019938	0.45361	212	0.03	6	100	1	0.8	1	1
0.6339	0.018538	0.49616	290	0.03	5	100	1	0.6	1	1
0.6339	0.018538	0.49038	290	0.03	6	100	1	0.6	1	1
0.63389	0.019314	0.43147	213	0.03	5	100	1	0.8	1	1
0.63387	0.020635	0.24467	72	0.1	4	100	1	0.8	1	1
0.63381	0.017934	0.20907	46	0.3	4	100	1	0.8	1	1
0.63374	0.019257	0.43817	295	0.03	3	100	1	0.7	1	1
0.63373	0.017425	0.31856	188	0.1	3	100	1	0.8	1	1
0.63368	0.012341	0.26982	171	0.1	2	100	1	0.6	1	1
0.63365	0.015271	0.32601	155	0.1	4	100	1	0.9	1	1
0.63356	0.014301	0.24092	107	0.1	4	100	1	0.6	0.7	1
0.63351	0.019662	0.63785	438	0.03	4	100	1	0.9	1	1
0.63329	0.020656	0.4053	227	0.03	4	100	1	0.8	1	1
0.63327	0.019054	0.47358	246	0.03	6	100	1	0.7	1	1
0.63327	0.018755	0.50507	276	0.03	5	100	1	0.9	1	1
0.63327	0.018465	0.20582	72	0.1	4	100	1	1	0.7	1
0.63323	0.022722	0.2546	56	0.3	6	100	1	0.9	1	1
0.63315	0.012261	0.19192	131	0.3	1	100	1	0.8	1	1
0.63312	0.020384	0.45376	241	0.03	5	100	1	0.7	1	1
0.63311	0.015431	0.42526	583	0.03	1	100	1	0.6	1	1
0.63309	0.020774	0.12944	60	0.3	1	100	1	1	1	1
0.63299	0.018599	0.34129	283	0.03	2	100	1	0.9	1	1
0.63297	0.014033	0.19302	183	0.1	1	100	1	0.6	1	1
0.63297	0.020161	0.19057	14	0.3	6	100	1	0.7	1	1
0.63296	0.017131	0.28404	118	0.1	4	100	1	1	1	1
0.63287	0.015793	0.21848	54	0.3	4	100	1	0.7	1	1
0.63287	0.016435	0.30408	138	0.1	4	100	1	0.7	0.9	1
0.63269	0.019049	0.45957	227	0.1	6	100	1	0.8	1	1
0.63263	0.017896	0.42358	285	0.03	3	100	1	0.8	1	1
0.63262	0.022362	0.1509	50	0.3	2	100	1	1	1	1
0.63248	0.013618	0.236	55	0.3	5	100	1	0.7	1	1
0.63247	0.013844	0.25536	122	0.1	3	100	1	0.6	1	1
0.63246	0.016934	0.35971	201	0.1	4	100	1	1	0.9	1
0.63228	0.020967	0.55232	739	0.03	1	100	1	1	1	1
0.63224	0.017627	0.23472	77	0.1	4	100	1	0.8	0.9	1
0.63222	0.017319	0.46761	319	0.1	4	100	1	0.9	0.8	1
0.63221	0.016953	0.22887	71	0.1	4	100	1	0.9	0.9	1
0.6322	0.014462	0.27287	129	0.1	4	100	1	1	0.8	1
0.63214	0.015462	0.15697	44	0.3	2	100	1	0.6	1	1
0.63212	0.015014	0.29499	178	0.1	3	100	1	1	1	1
0.63212	0.018848	0.20763	23	0.3	5	100	1	1	1	1
0.6321	0.016913	0.50618	245	0.03	6	100	1	0.9	1	1
0.63203	0.023718	0.21126	192	0.1	1	100	1	1	1	1
0.63193	0.019211	0.56024	384	0.03	4	100	1	1	1	1
0.63182	0.012637	0.21078	66	0.3	3	100	1	0.6	1	1
0.6318	0.013993	0.30957	280	0.03	2	100	1	0.6	1	1
0.63163	0.018842	0.36417	275	0.1	4	100	1	1	0.5	1
0.63161	0.017175	0.46235	335	0.03	3	100	1	0.9	1	1
0.63158	0.017089	0.36402	158	0.1	5	100	1	0.8	1	1
0.63156	0.01709	0.505	476	0.1	2	100	1	0.9	1	1
0.63144	0.014072	0.12727	71	0.3	1	100	1	0.6	1	1
0.6314	0.014287	0.19844	40	0.3	4	100	1	1	1	1
0.6314	0.017321	0.59712	366	0.03	5	100	1	1	1	1
0.63139	0.023634	0.432	515	0.03	1	100	1	0.9	1	1
0.63117	0.019067	0.34143	119	0.1	6	100	1	1	1	1
0.63114	0.019027	0.25775	170	0.3	2	100	1	0.8	1	1
0.63106	0.017283	0.36839	244	0.1	3	100	1	0.9	1	1
0.63076	0.016431	0.28825	94	0.1	5	100	1	1	1	1
0.63071	0.01832	0.20067	16	0.3	6	100	1	0.8	1	1
0.63057	0.01742	0.15691	12	0.3	3	100	1	0.9	1	1
0.63052	0.013012	0.21276	23	0.3	6	100	1	1	1	1
0.63048	0.019066	0.32531	105	0.1	6	100	1	0.9	1	1
0.6304	0.016037	0.36861	326	0.03	2	100	1	1	1	1
0.6304	0.016709	0.56241	471	0.03	3	100	1	1	1	1
0.63039	0.014517	0.19594	88	0.3	2	100	1	0.9	1	1
0.63034	0.019824	0.19995	31	0.3	4	100	1	0.9	1	1
0.63003	0.018221	0.47425	227	0.03	6	100	1	1	1	1
0.6298	0.016187	0.20491	45	0.1	4	100	1	0.6	0.9	1
0.62958	0.018218	0.25523	188	0.1	2	100	1	1	1	1
0.62952	0.022045	0.25807	159	0.03	2	100	1	0.7	1	1
0.62844	0.021039	0.18797	10	0.3	5	100	1	0.8	1	1
